Lesson,Exercise ID,Type,Prompt,Answer,Audio ID,Has Audio
w1_l1,w1_l1_mc_0,multiple_choice,"Ընտրիր "բարև"-ի թարգմանությունը","hello",000026,NO
w1_l1,w1_l1_tr_0,translate,"Թարգմանիր՝ "բարև"","hello",000032,NO
w1_l1,w1_l1_mc_1,multiple_choice,"Ընտրիր "ողջույն"-ի թարգմանությունը","hi",000036,NO
w1_l1,w1_l1_tr_1,translate,"Թարգմանիր՝ "ողջույն"","hi",000042,NO
w1_l1,w1_l1_mc_2,multiple_choice,"Ընտրիր "բարի լույս"-ի թարգմանությունը","good morning",000046,NO
w1_l1,w1_l1_tr_2,translate,"Թարգմանիր՝ "բարի լույս"","good morning",000052,NO
w1_l1,w1_l1_mc_3,multiple_choice,"Ընտրիր "բարի օր"-ի թարգմանությունը","good day",000056,NO
w1_l1,w1_l1_tr_3,translate,"Թարգմանիր՝ "բարի օր"","good day",000062,NO
w1_l1,w1_l1_mc_4,multiple_choice,"Ընտրիր "բարի երեկո"-ի թարգմանությունը","good evening",000066,NO
w1_l1,w1_l1_tr_4,translate,"Թարգմանիր՝ "բարի երեկո"","good evening",000072,NO
w1_l1,w1_l1_mc_5,multiple_choice,"Ընտրիր "բարի գիշեր"-ի թարգմանությունը","good night",000076,NO
w1_l1,w1_l1_tr_5,translate,"Թարգմանիր՝ "բարի գիշեր"","good night",000082,NO
w1_l1,w1_l1_mc_6,multiple_choice,"Ընտրիր "ցտեսություն"-ի թարգմանությունը","goodbye",000086,NO
w1_l1,w1_l1_tr_6,translate,"Թարգմանիր՝ "ցտեսություն"","goodbye",000092,NO
w1_l1,w1_l1_mc_7,multiple_choice,"Ընտրիր "կտեսնվենք"-ի թարգմանությունը","see you",000096,NO
w1_l1,w1_l1_tr_7,translate,"Թարգմանիր՝ "կտեսնվենք"","see you",000102,NO
w1_l1,w1_l1_mc_8,multiple_choice,"Ընտրիր "բարի գալուստ"-ի թարգմանությունը","welcome",000106,NO
w1_l1,w1_l1_tr_8,translate,"Թարգմանիր՝ "բարի գալուստ"","welcome",000112,NO
w1_l1,w1_l1_mc_9,multiple_choice,"Ընտրիր "հաճելի է"-ի թարգմանությունը","nice",000116,NO
w1_l1,w1_l1_tr_9,translate,"Թարգմանիր՝ "հաճելի է"","nice",000122,NO
w1_l1,w1_l1_mc_10,multiple_choice,"Ընտրիր "ծանոթանալ"-ի թարգմանությունը","to meet",000126,NO
w1_l1,w1_l1_tr_10,translate,"Թարգմանիր՝ "ծանոթանալ"","to meet",000132,NO
w1_l1,w1_l1_mc_11,multiple_choice,"Ընտրիր "անուն"-ի թարգմանությունը","name",000136,NO
